Taken at,Barcode no.,Body no.,DMp (%),NFI-2,DMa (cm2),DMs,DMs(AUSMEAT),DMs(MSA),DMc,DFc,Cross-section image thumbnail
2026-05-01 14:01:58-05:00,3776043026,3776043026,30.679070396630596,6.961057005939093,78.6007,9.053393674045688,7,930.0,4,4,https://storage.googleapis.com/carcassdb/beef/e9169751-92be-4409-9d12-7c3ad3730d38/cross_section_800x600.jpg
2026-05-01 14:01:21-05:00,3787043026,3787043026,25.59604466687767,6.378659749849716,82.7781,7.5533927811956,5,780.0,4,4,https://storage.googleapis.com/carcassdb/beef/35455bd8-a3e6-4697-b49d-28d833bbf701/cross_section_800x600.jpg
2026-05-01 14:01:01-05:00,3775043026,3775043026,33.365865315361084,7.354918072933791,91.5233,9.846266854563057,7,980.0,4,4,https://storage.googleapis.com/carcassdb/beef/8d70d522-fcc7-48a4-965d-d38273ce1405/cross_section_800x600.jpg
2026-05-01 14:00:40-05:00,30064043026,30064043026,17.545516702591705,4.148648338818887,90.1291,5.177681978934811,3,560.0,6,4,https://storage.googleapis.com/carcassdb/beef/1c7373cd-68c7-487e-a9d4-c92baab133c3/cross_section_800x600.jpg
2026-05-01 14:00:21-05:00,3786043026,3786043026,25.564961629656864,5.19719659045225,98.3042,7.54422017691174,6,800.0,4,4,https://storage.googleapis.com/carcassdb/beef/921a39c9-10fd-462e-806e-b331232929ac/cross_section_800x600.jpg
2026-05-01 13:50:13-05:00,3774043026,3774043026,19.136792182557112,4.726168444050601,101.5073,5.647267373072604,4,600.0,1C,3,https://storage.googleapis.com/carcassdb/beef/f21be65b-965c-440b-bbd4-15950af29436/cross_section_800x600.jpg
2026-05-01 13:49:43-05:00,3871043026,3871043026,24.985740898041914,6.101141111915025,83.5353,7.373292139012168,5,760.0,1C,3,https://storage.googleapis.com/carcassdb/beef/62c47af7-1b77-4be3-be80-87a5fbbf17cb/cross_section_800x600.jpg
2026-05-01 13:49:22-05:00,3782043026,3782043026,29.174939386418743,6.53784789705683,85.6745,8.60952461293217,6,870.0,1C,4,https://storage.googleapis.com/carcassdb/beef/54ac566c-3089-4a96-8877-b515a9c3f17c/cross_section_800x600.jpg
2026-05-01 13:48:49-05:00,3789043026,3789043026,27.316440687614964,6.240293580116466,103.8298,8.061081646915175,6,820.0,2,3,https://storage.googleapis.com/carcassdb/beef/270f9f6a-b816-410a-a1f8-f49c9889eaf2/cross_section_800x600.jpg
2026-05-01 13:48:24-05:00,29648043026,29648043026,19.079779293178696,4.160550952587748,71.7465,5.630442869417033,4,600.0,1C,3,https://storage.googleapis.com/carcassdb/beef/8bf913c7-9d74-442e-9e07-0febe6b814b4/cross_section_800x600.jpg
2026-05-01 13:47:59-05:00,3781043026,3781043026,22.057335807746163,5.782667607179157,91.519,6.509119796865892,4,690.0,1C,3,https://storage.googleapis.com/carcassdb/beef/21e06c4e-9b3f-46c9-a6c1-b8d52aaca4ec/cross_section_800x600.jpg
2026-05-01 13:47:36-05:00,3275043026,3275043026,33.74821902474231,6.743433245722549,81.982,9.959099434201455,8,1000.0,1B,3,https://storage.googleapis.com/carcassdb/beef/d8c23a29-6e8c-477c-93d7-660fd8b694e4/cross_section_800x600.jpg
2026-05-01 13:47:17-05:00,3815043026,3815043026,26.378841481736494,5.437831341929423,67.8365,7.784396121260438,5,780.0,1C,3,https://storage.googleapis.com/carcassdb/beef/efb7a8f6-3b36-4a8d-96c9-d9a7c12ba711/cross_section_800x600.jpg
2026-05-01 13:46:56-05:00,9474043026,9474043026,43.3225854509854,8.011437933360593,95.9257,12.784494966585791,9+,1100.0,1C,3,https://storage.googleapis.com/carcassdb/beef/97be09bd-fb3f-4309-b5b6-23b7ed4c08a4/cross_section_800x600.jpg
2026-05-01 13:46:26-05:00,3799043026,3799043026,38.559319051023905,7.283376273593298,101.4341,11.378855051957153,9,1100.0,1C,3,https://storage.googleapis.com/carcassdb/beef/37adb62e-1e8b-4947-a6f1-6444797c707f/cross_section_800x600.jpg
2026-05-01 13:34:43-05:00,3778043026,3778043026,11.644784936859644,3.1704848231317944,109.8062,3.4363760348672807,2,440.0,1C,4,https://storage.googleapis.com/carcassdb/beef/d6c7704c-1980-47af-86d5-26cd5041750c/cross_section_800x600.jpg
2026-05-01 13:34:04-05:00,3788043026,3788043026,25.855935698232308,5.313822974897227,91.3177,7.630086624548354,6,810.0,1C,3,https://storage.googleapis.com/carcassdb/beef/cc65277e-5882-4eef-bea3-e9883cc3d5cc/cross_section_800x600.jpg
2026-05-01 13:33:24-05:00,3814043026,3814043026,25.694726283627066,6.180228840096513,97.1721,7.582513726298347,5,780.0,1C,3,https://storage.googleapis.com/carcassdb/beef/430181c5-de35-4a6b-a77e-2d281c410118/cross_section_800x600.jpg
2026-05-01 13:32:18-05:00,30063043026,30063043026,29.467037938255707,7.121604370801627,84.4391,8.695722895579259,6,850.0,2,4,https://storage.googleapis.com/carcassdb/beef/af523c79-c27b-4234-8828-b78426fb2655/cross_section_800x600.jpg
2026-05-01 13:31:55-05:00,3796043026,3796043026,22.859735555023633,5.352298325707071,85.8396,6.745907962287474,5,690.0,2,4,https://storage.googleapis.com/carcassdb/beef/ee0c66a2-913b-427f-8e88-300ec75955b0/cross_section_800x600.jpg
2026-05-01 13:31:24-05:00,1286043026,1286043026,28.959911503522527,6.749164244504312,80.3312,8.546069884689498,6,880.0,2,3,https://storage.googleapis.com/carcassdb/beef/c27ff672-f43e-4446-a9c9-42a379079d8a/cross_section_800x600.jpg
2026-05-01 13:30:35-05:00,3777043026,3777043026,29.015167067177067,6.8690192154701935,101.4341,8.562375801523952,6,860.0,2,3,https://storage.googleapis.com/carcassdb/beef/3ed47cbe-59f4-4b62-acab-494dc02d2c00/cross_section_800x600.jpg
